Date,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Provinsi
2023-03-12,45.17,36.96,36.87,Sumatera Barat
2023-03-13,45.52,37.31,36.67,Sumatera Barat
2023-03-14,45.16,36.92,37.25,Sumatera Barat
2023-03-15,44.13,36.82,37.66,Sumatera Barat
2023-03-16,44.25,36.96,33.37,Sumatera Barat
2023-03-17,44.04,37.07,36.39,Sumatera Barat
2023-03-18,43.84,37.02571428571429,36.03,Sumatera Barat
2023-03-19,43.87,37.39,34.37,Sumatera Barat
2023-03-20,43.95,36.79,36.98,Sumatera Barat
2023-03-21,44.13,36.72,36.93,Sumatera Barat
2023-03-22,44.0,36.37,36.98,Sumatera Barat
2023-03-23,44.19,36.48,36.59,Sumatera Barat
2023-03-24,44.0,36.62,36.77,Sumatera Barat
2023-03-25,43.72,36.770816326530614,36.67,Sumatera Barat
2023-03-26,44.69,37.2,36.59,Sumatera Barat
2023-03-27,44.57,36.67,36.67,Sumatera Barat
2023-03-28,43.79,37.13,36.69,Sumatera Barat
2023-03-29,44.13714285714286,36.77,37.12,Sumatera Barat
2023-03-30,43.51,37.09,37.23,Sumatera Barat
2023-03-31,44.05959183673469,36.26,36.49,Sumatera Barat
2023-04-01,43.5,36.84,36.69,Sumatera Barat
2023-04-02,43.29,36.85142857142858,36.87,Sumatera Barat
2023-04-03,43.55,36.52,37.26,Sumatera Barat
2023-04-04,43.64,36.780204081632654,38.12,Sumatera Barat
2023-04-05,42.71,36.730233236151605,38.33,Sumatera Barat
2023-04-06,43.23,36.34,36.87,Sumatera Barat
2023-04-07,43.64,36.24,38.12,Sumatera Barat
2023-04-08,43.28,36.29,37.465714285714284,Sumatera Barat
2023-04-09,44.24,36.53598084131612,38.33,Sumatera Barat
2023-04-10,43.3,36.49091687987148,36.9,Sumatera Barat
2023-04-11,43.93,36.33,36.91,Sumatera Barat
2023-04-12,43.94,36.61,38.1,Sumatera Barat
2023-04-13,43.95,36.4052711030268,38.1,Sumatera Barat
2023-04-14,44.37,36.69,37.73,Sumatera Barat
2023-04-15,44.6,36.47888126060206,37.92,Sumatera Barat
2023-04-16,44.14,36.42,37.73,Sumatera Barat
2023-04-17,43.64,36.7,36.49,Sumatera Barat
2023-04-18,44.56,36.4,37.51,Sumatera Barat
2023-04-19,44.62,36.93,37.09,Sumatera Barat
2023-04-20,44.26857142857143,36.57487890908983,37.51,Sumatera Barat
2023-04-21,46.43,36.59910859567027,36.87,Sumatera Barat
2023-04-22,44.27,38.4,33.46,Sumatera Barat
2023-04-23,44.52,37.94,35.66,Sumatera Barat
2023-04-24,44.88,38.34,36.3,Sumatera Barat
2023-04-25,44.21,37.82,36.12,Sumatera Barat
2023-04-26,44.45,37.57,36.3,Sumatera Barat
2023-04-27,43.85,37.77,35.47,Sumatera Barat
2023-04-28,44.13,37.8,35.5,Sumatera Barat
2023-04-29,45.12,38.38,35.91,Sumatera Barat
2023-04-30,44.47,38.68,35.92,Sumatera Barat
2023-05-01,44.27,38.18,36.95,Sumatera Barat
2023-05-02,44.65,38.69,35.73,Sumatera Barat
2023-05-03,44.15,37.05,35.92,Sumatera Barat
2023-05-04,44.1,37.61,35.5,Sumatera Barat
2023-05-05,43.45,36.7,36.32,Sumatera Barat
2023-05-06,44.25,37.92,35.73,Sumatera Barat
2023-05-07,44.06,37.71,35.52,Sumatera Barat
2023-05-08,43.86,37.6,35.11,Sumatera Barat
2023-05-09,43.9,37.89,35.72,Sumatera Barat
2023-05-10,44.24,37.29,34.9,Sumatera Barat
2023-05-11,44.39,37.53,35.72,Sumatera Barat
2023-05-12,44.43,38.61,36.9,Sumatera Barat
2023-05-13,44.77,38.69,36.33,Sumatera Barat
2023-05-14,44.03,38.71,36.6,Sumatera Barat
2023-05-15,43.59,38.01,35.59,Sumatera Barat
2023-05-16,43.94,37.87,36.32,Sumatera Barat
2023-05-17,44.04,37.64,36.82,Sumatera Barat
2023-05-18,44.41,38.13,36.4,Sumatera Barat
2023-05-19,43.62,37.71,36.43,Sumatera Barat
2023-05-20,43.67,37.54,37.26,Sumatera Barat
2023-05-21,44.75,38.29,36.54,Sumatera Barat
2023-05-22,43.48,37.6,35.01,Sumatera Barat
2023-05-23,43.45,38.0,33.9,Sumatera Barat
2023-05-24,43.56,36.69,34.82,Sumatera Barat
2023-05-25,43.56,36.55,35.78,Sumatera Barat
2023-05-26,42.87,36.29,35.78,Sumatera Barat
2023-05-27,43.32,37.25,35.78,Sumatera Barat
2023-05-28,43.57,37.62,35.78,Sumatera Barat
2023-05-29,44.54,37.23,35.48,Sumatera Barat
2023-05-30,43.37,37.43,36.1,Sumatera Barat
2023-05-31,43.69,37.2,35.33,Sumatera Barat
2023-06-01,44.14,37.25,35.75,Sumatera Barat
2023-06-02,43.642857142857146,37.85,36.74,Sumatera Barat
2023-06-03,44.14,37.9,37.74,Sumatera Barat
2023-06-04,43.5,37.82,35.05,Sumatera Barat
2023-06-05,43.4,37.36,34.91,Sumatera Barat
2023-06-06,43.69755102040816,37.87,34.64,Sumatera Barat
2023-06-07,43.74434402332361,37.65,35.1,Sumatera Barat
2023-06-08,44.14,38.26,35.14,Sumatera Barat
2023-01-06,47.47,41.83,45.38,Riau
2023-01-07,47.47,41.83,41.27,Riau
2023-01-08,47.47,41.83,43.325,Riau
2023-01-09,47.47,41.83,43.32500000000001,Riau
2023-01-10,47.47,41.52,41.85,Riau
2023-01-11,47.47,43.8,43.03000000000001,Riau
2023-01-12,47.47,41.77,40.96,Riau
2023-01-13,47.46999999999999,42.41,43.58,Riau
2023-01-14,47.46999999999999,42.16,42.11,Riau
